epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2476.1,1.08903,0.97461,1.19158,0.73147,0.75511,0.76666,0.59395,0.81011,0.42432,0.94203,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253
2,4475.86,0.8756,0.5364,1.04393,0.76072,0.78442,0.80113,0.65888,0.64037,0.34691,0.90819,0.0197996,0.00659987,0.0197996,0.00659987,0.0197996,0.00659987,0.0197996,0.00659987
3,6574.19,0.85088,0.51276,1.03872,0.78222,0.80372,0.82685,0.68192,0.62737,0.32214,0.90559,0.0294036,0.00980121,0.0294036,0.00980121,0.0294036,0.00980121,0.0294036,0.00980121
4,8862.67,0.80285,0.47779,1.02137,0.80767,0.81013,0.84101,0.70612,0.58144,0.29817,0.89278,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,11039,0.7517,0.44163,0.99823,0.82035,0.81533,0.84939,0.71882,0.55609,0.28762,0.88362,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,13055.7,0.72614,0.4247,0.98747,0.84114,0.81143,0.85588,0.72838,0.54182,0.283,0.87786,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,15077.4,0.71094,0.41437,0.98124,0.84409,0.82006,0.86107,0.73382,0.53349,0.27971,0.87488,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,17020.9,0.70016,0.40685,0.97712,0.8494,0.82252,0.86577,0.73993,0.52527,0.27563,0.87209,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,18960.2,0.6929,0.40237,0.97239,0.84466,0.83211,0.87056,0.74553,0.5146,0.26937,0.86742,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,20905.7,0.68543,0.39744,0.96924,0.84959,0.83742,0.87521,0.7511,0.50674,0.26333,0.86416,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,22853.8,0.68145,0.39518,0.96715,0.85591,0.83827,0.87932,0.75627,0.50037,0.25759,0.86215,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,24801.1,0.67682,0.39235,0.96482,0.86089,0.84114,0.88316,0.76029,0.49615,0.25371,0.85983,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,26744.2,0.67246,0.38937,0.96325,0.86381,0.84357,0.8853,0.76175,0.49349,0.25039,0.85765,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,28694.5,0.66956,0.38754,0.96163,0.87127,0.84193,0.88739,0.76395,0.49191,0.24786,0.85575,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,30642.8,0.66646,0.38492,0.95953,0.87322,0.84238,0.88967,0.76633,0.49103,0.24562,0.85412,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,32585.9,0.66268,0.38308,0.95821,0.875,0.84107,0.89057,0.76796,0.48939,0.24428,0.85441,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,34534.7,0.66052,0.38193,0.95803,0.87411,0.84603,0.8917,0.76814,0.48914,0.24386,0.85405,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,36483.1,0.65776,0.37988,0.957,0.87777,0.84314,0.89311,0.76978,0.48764,0.24244,0.85449,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,38426.3,0.65578,0.3785,0.95623,0.8756,0.84903,0.89434,0.77153,0.4856,0.24122,0.85446,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,40367.9,0.65378,0.37733,0.95559,0.87574,0.84589,0.89477,0.7724,0.48434,0.24023,0.85455,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,42309.5,0.65029,0.37513,0.95257,0.86711,0.85518,0.89561,0.77351,0.48098,0.23874,0.85148,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,44249.3,0.64904,0.37385,0.95113,0.87096,0.84949,0.89623,0.77508,0.47713,0.23737,0.84923,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,46196.3,0.64615,0.37202,0.94989,0.88173,0.84607,0.89707,0.7759,0.47555,0.23657,0.84788,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,48145.9,0.6443,0.37078,0.94931,0.88156,0.84777,0.89799,0.77765,0.47288,0.23494,0.84671,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,50089,0.64263,0.36986,0.94908,0.88158,0.85017,0.89842,0.77893,0.47032,0.23428,0.84583,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,52037.2,0.64079,0.36857,0.94742,0.88771,0.8456,0.89878,0.77935,0.46888,0.23344,0.8456,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,53982.5,0.6385,0.36722,0.94757,0.88498,0.85062,0.90006,0.78051,0.46784,0.23246,0.84499,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,55930.5,0.63779,0.36677,0.94717,0.88401,0.85202,0.90078,0.78148,0.46757,0.23221,0.84568,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,57878.7,0.63571,0.36537,0.94685,0.88362,0.85451,0.90134,0.78128,0.46698,0.23166,0.84541,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,59825.3,0.63284,0.36357,0.94452,0.87659,0.85848,0.90185,0.78225,0.46484,0.23042,0.84457,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,61966.2,0.63141,0.3629,0.9437,0.88432,0.85396,0.90228,0.78298,0.46395,0.23015,0.84421,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,63947.5,0.62953,0.36167,0.94338,0.88677,0.85339,0.90379,0.78462,0.46212,0.22941,0.84342,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
